Yardline,Quarter,Yds_to_go,Time_remaining,Wind_speed,Timeouts,Score_differential,Offense_strength,Opp_defense_strength
28.0,2.0,2.0,1902.0,,2.0,0.0,-0.0579264296982367,-0.023619877144352
53.0,3.0,10.0,1707.0,,3.0,0.0,-0.0579264296982367,-0.023619877144352
57.0,3.0,3.0,1177.0,,3.0,-7.0,-0.0579264296982367,-0.023619877144352
34.0,1.0,30.0,3044.0,12.0,3.0,7.0,-0.0579264296982367,-0.0122834788418119
46.0,2.0,7.0,2457.0,12.0,3.0,7.0,-0.0579264296982367,-0.0122834788418119
46.0,2.0,5.0,2223.0,12.0,3.0,7.0,-0.0579264296982367,-0.0122834788418119
39.0,2.0,9.0,1905.0,12.0,3.0,7.0,-0.0579264296982367,-0.0122834788418119
36.0,2.0,5.0,1802.0,12.0,0.0,10.0,-0.0579264296982367,-0.0122834788418119
51.0,3.0,5.0,1462.0,12.0,3.0,13.0,-0.0579264296982367,-0.0122834788418119
35.0,4.0,1.0,900.0,12.0,2.0,7.0,-0.0579264296982367,-0.0122834788418119
18.0,4.0,1.0,740.0,12.0,2.0,7.0,-0.0579264296982367,-0.0122834788418119
80.0,4.0,10.0,542.0,12.0,2.0,10.0,-0.0579264296982367,-0.0122834788418119
82.0,4.0,1.0,271.0,12.0,2.0,7.0,-0.0579264296982367,-0.0122834788418119
72.0,4.0,3.0,11.0,12.0,2.0,7.0,-0.0579264296982367,-0.0122834788418119
77.0,4.0,8.0,11.0,12.0,2.0,7.0,-0.0579264296982367,-0.0122834788418119
54.0,1.0,1.0,3016.0,3.0,3.0,7.0,-0.0579264296982367,-0.0244082847561596
43.0,2.0,2.0,2185.0,3.0,2.0,14.0,-0.0579264296982367,-0.0244082847561596
41.0,3.0,6.0,1473.0,3.0,3.0,24.0,-0.0579264296982367,-0.0244082847561596
50.0,3.0,5.0,1068.0,3.0,3.0,24.0,-0.0579264296982367,-0.0244082847561596
48.0,4.0,3.0,511.0,3.0,3.0,25.0,-0.0579264296982367,-0.0244082847561596
74.0,1.0,16.0,3422.0,3.0,3.0,0.0,-0.0579264296982367,0.0603942830097032
16.0,1.0,5.0,3058.0,3.0,3.0,-2.0,-0.0579264296982367,0.0603942830097032
41.0,2.0,7.0,2582.0,3.0,3.0,-9.0,-0.0579264296982367,0.0603942830097032
46.0,2.0,12.0,2582.0,3.0,3.0,-9.0,-0.0579264296982367,0.0603942830097032
61.0,2.0,2.0,1948.0,3.0,2.0,-16.0,-0.0579264296982367,0.0603942830097032
66.0,2.0,7.0,1948.0,3.0,2.0,-16.0,-0.0579264296982367,0.0603942830097032
32.0,2.0,5.0,1816.0,3.0,0.0,-16.0,-0.0579264296982367,0.0603942830097032
84.0,3.0,1.0,1671.0,3.0,3.0,-13.0,-0.0579264296982367,0.0603942830097032
68.0,3.0,3.0,1328.0,3.0,3.0,-20.0,-0.0579264296982367,0.0603942830097032
70.0,4.0,7.0,872.0,3.0,3.0,-6.0,-0.0579264296982367,0.0603942830097032
20.0,4.0,12.0,399.0,3.0,2.0,-6.0,-0.0579264296982367,0.0603942830097032
20.0,4.0,1.0,127.0,3.0,2.0,-10.0,-0.0579264296982367,0.0603942830097032
95.0,1.0,17.0,3162.0,9.0,3.0,7.0,-0.0579264296982367,0.0327524543517546
35.0,1.0,6.0,2820.0,9.0,3.0,4.0,-0.0579264296982367,0.0327524543517546
28.0,2.0,4.0,2367.0,9.0,3.0,-1.0,-0.0579264296982367,0.0327524543517546
39.0,3.0,15.0,1652.0,9.0,3.0,6.0,-0.0579264296982367,0.0327524543517546
63.0,3.0,12.0,1320.0,9.0,3.0,6.0,-0.0579264296982367,0.0327524543517546
88.0,4.0,10.0,110.0,9.0,1.0,7.0,-0.0579264296982367,0.0327524543517546
40.0,1.0,4.0,3457.0,9.0,3.0,0.0,-0.0579264296982367,-0.0017807959942073
23.0,1.0,11.0,3054.0,9.0,3.0,-7.0,-0.0579264296982367,-0.0017807959942073
27.0,2.0,21.0,2652.0,9.0,3.0,-4.0,-0.0579264296982367,-0.0017807959942073
56.0,2.0,23.0,2265.0,9.0,3.0,-4.0,-0.0579264296982367,-0.0017807959942073
19.0,2.0,6.0,1822.0,9.0,1.0,-4.0,-0.0579264296982367,-0.0017807959942073
28.0,3.0,16.0,992.0,9.0,3.0,4.0,-0.0579264296982367,-0.0017807959942073
4.0,4.0,3.0,861.0,9.0,3.0,7.0,-0.0579264296982367,-0.0017807959942073
53.0,4.0,3.0,612.0,9.0,3.0,3.0,-0.0579264296982367,-0.0017807959942073
76.0,1.0,11.0,3555.0,6.0,3.0,0.0,-0.0579264296982367,-0.0122834788418119
53.0,1.0,1.0,3119.0,6.0,3.0,-7.0,-0.0579264296982367,-0.0122834788418119
12.0,1.0,2.0,2897.0,6.0,3.0,-7.0,-0.0579264296982367,-0.0122834788418119
44.0,2.0,13.0,2472.0,6.0,2.0,-11.0,-0.0579264296982367,-0.0122834788418119
81.0,3.0,14.0,1490.0,6.0,3.0,-17.0,-0.0579264296982367,-0.0122834788418119
8.0,3.0,2.0,1077.0,6.0,3.0,-17.0,-0.0579264296982367,-0.0122834788418119
60.0,4.0,10.0,822.0,6.0,3.0,-17.0,-0.0579264296982367,-0.0122834788418119
75.0,4.0,5.0,289.0,6.0,3.0,-10.0,-0.0579264296982367,-0.0122834788418119
7.0,1.0,6.0,2987.0,9.0,3.0,0.0,-0.0494160799128072,0.0275294113230999
49.0,2.0,6.0,2695.0,9.0,3.0,3.0,-0.0494160799128072,0.0275294113230999
80.0,2.0,16.0,2242.0,9.0,2.0,3.0,-0.0494160799128072,0.0275294113230999
7.0,3.0,7.0,969.0,9.0,1.0,17.0,-0.0494160799128072,0.0275294113230999
76.0,4.0,12.0,754.0,9.0,1.0,20.0,-0.0494160799128072,0.0275294113230999
87.0,4.0,5.0,444.0,9.0,1.0,20.0,-0.0494160799128072,0.0275294113230999
77.0,4.0,1.0,256.0,9.0,1.0,20.0,-0.0494160799128072,0.0275294113230999
49.0,4.0,3.0,73.0,9.0,0.0,20.0,-0.0494160799128072,0.0275294113230999
46.0,1.0,15.0,3314.0,2.0,3.0,0.0,-0.0494160799128072,-0.0181295755429661
68.0,2.0,18.0,1978.0,2.0,3.0,7.0,-0.0494160799128072,-0.0181295755429661
40.0,2.0,6.0,1861.0,2.0,1.0,7.0,-0.0494160799128072,-0.0181295755429661
56.0,3.0,6.0,1648.0,2.0,3.0,14.0,-0.0494160799128072,-0.0181295755429661
51.0,3.0,1.0,1640.0,2.0,3.0,14.0,-0.0494160799128072,-0.0181295755429661
77.0,3.0,12.0,1408.0,2.0,3.0,11.0,-0.0494160799128072,-0.0181295755429661
10.0,4.0,5.0,900.0,2.0,3.0,11.0,-0.0494160799128072,-0.0181295755429661
48.0,4.0,11.0,228.0,2.0,1.0,14.0,-0.0494160799128072,-0.0181295755429661
61.0,1.0,11.0,3524.0,10.0,3.0,0.0,-0.0494160799128072,0.1569443325794988
67.0,1.0,2.0,3158.0,10.0,3.0,-3.0,-0.0494160799128072,0.1569443325794988
83.0,1.0,18.0,2833.0,10.0,3.0,-10.0,-0.0494160799128072,0.1569443325794988
71.0,2.0,6.0,2401.0,10.0,3.0,-13.0,-0.0494160799128072,0.1569443325794988
62.0,2.0,8.0,1982.0,10.0,3.0,-20.0,-0.0494160799128072,0.1569443325794988
71.0,2.0,6.0,1822.0,10.0,1.0,-23.0,-0.0494160799128072,0.1569443325794988
58.0,3.0,11.0,1112.0,10.0,3.0,-37.0,-0.0494160799128072,0.1569443325794988
40.0,4.0,8.0,585.0,10.0,3.0,-44.0,-0.0494160799128072,0.1569443325794988
39.0,1.0,9.0,3353.0,6.0,3.0,0.0,-0.0494160799128072,0.0280250193339084
69.0,2.0,3.0,2650.0,6.0,3.0,-3.0,-0.0494160799128072,0.0280250193339084
92.0,2.0,12.0,2432.0,6.0,3.0,-3.0,-0.0494160799128072,0.0280250193339084
96.0,2.0,16.0,2432.0,6.0,3.0,-3.0,-0.0494160799128072,0.0280250193339084
73.0,2.0,5.0,1943.0,6.0,2.0,-13.0,-0.0494160799128072,0.0280250193339084
24.0,3.0,16.0,1656.0,6.0,3.0,-19.0,-0.0494160799128072,0.0280250193339084
61.0,4.0,22.0,869.0,6.0,2.0,-10.0,-0.0494160799128072,0.0280250193339084
47.0,4.0,12.0,348.0,6.0,2.0,-10.0,-0.0494160799128072,0.0280250193339084
4.0,4.0,3.0,10.0,6.0,0.0,-17.0,-0.0494160799128072,0.0280250193339084
5.0,2.0,5.0,2121.0,8.0,3.0,11.0,-0.0494160799128072,-0.0464478771203641
43.0,2.0,7.0,1835.0,8.0,1.0,14.0,-0.0494160799128072,-0.0464478771203641
60.0,3.0,10.0,1620.0,8.0,3.0,14.0,-0.0494160799128072,-0.0464478771203641
74.0,3.0,8.0,1420.0,8.0,3.0,14.0,-0.0494160799128072,-0.0464478771203641
3.0,4.0,3.0,793.0,8.0,2.0,7.0,-0.0494160799128072,-0.0464478771203641
26.0,4.0,4.0,149.0,8.0,2.0,10.0,-0.0494160799128072,-0.0464478771203641
64.0,1.0,1.0,3478.0,7.0,3.0,0.0,-0.0494160799128072,0.0543953181801293
77.0,1.0,12.0,3024.0,7.0,3.0,0.0,-0.0494160799128072,0.0543953181801293
90.0,1.0,11.0,2722.0,7.0,3.0,0.0,-0.0494160799128072,0.0543953181801293
76.0,2.0,4.0,1936.0,7.0,3.0,-10.0,-0.0494160799128072,0.0543953181801293
9.0,2.0,9.0,1808.0,7.0,0.0,-10.0,-0.0494160799128072,0.0543953181801293
80.0,3.0,6.0,1498.0,7.0,3.0,-7.0,-0.0494160799128072,0.0543953181801293
67.0,3.0,7.0,1059.0,7.0,3.0,-7.0,-0.0494160799128072,0.0543953181801293
13.0,4.0,13.0,699.0,7.0,3.0,-7.0,-0.0494160799128072,0.0543953181801293
32.0,4.0,1.0,391.0,7.0,2.0,-4.0,-0.0494160799128072,0.0543953181801293
