Yardline,Quarter,Yds_to_go,Time_remaining,Wind_speed,Timeouts,Score_differential,Offense_strength,Opp_defense_strength,WP_go,WP_fg,WP_punt
39.0,2.0,8.0,1805.0,8.0,0.0,3.0,-0.0579264296982367,0.0197810534638609,0.6442115277368826,0.6671432078491076,0.6425257789729414
19.0,3.0,5.0,1524.0,8.0,3.0,6.0,-0.0579264296982367,0.0197810534638609,0.7479706825313814,0.7951922791128849,0.7532128948156007
78.0,3.0,13.0,1113.0,8.0,3.0,2.0,-0.0579264296982367,0.0197810534638609,0.6377178326792965,0.6082167215681853,0.5478922531143899
66.0,4.0,3.0,725.0,8.0,3.0,2.0,-0.0579264296982367,0.0197810534638609,0.678900397820944,0.6466689163394624,0.6226116265156305
49.0,4.0,2.0,134.0,8.0,0.0,-1.0,-0.0579264296982367,0.0197810534638609,0.5370094166306596,0.4828579129669408,0.363880675820943
35.0,4.0,1.0,67.0,8.0,0.0,-1.0,-0.0579264296982367,0.0197810534638609,0.636307636826127,0.5545629499349806,0.3968561429657529
67.0,1.0,13.0,3337.0,2.0,3.0,0.0,-0.0579264296982367,-0.0281221607247085,0.45902249863563893,0.4714655541911945,0.4890224986356389
79.0,1.0,2.0,3118.0,2.0,3.0,0.0,-0.0579264296982367,-0.0281221607247085,0.44524307361093646,0.45769211958156125,0.4773782306926724
94.0,1.0,9.0,2809.0,2.0,3.0,0.0,-0.0579264296982367,-0.0281221607247085,0.41182639186493597,0.441826391864936,0.42680098108327824
5.0,2.0,4.0,2575.0,2.0,3.0,-7.0,-0.0579264296982367,-0.0281221607247085,0.38070592473338755,0.39153419850944293,0.33127220178064504
48.0,2.0,14.0,2297.0,2.0,3.0,-4.0,-0.0579264296982367,-0.0281221607247085,0.27880310113722295,0.3293670767536881,0.3710957072977807
81.0,2.0,7.0,1991.0,2.0,3.0,-11.0,-0.0579264296982367,-0.0281221607247085,0.12364409045786683,0.12913237764807792,0.151581451722152
25.0,2.0,10.0,1808.0,2.0,0.0,-11.0,-0.0579264296982367,-0.0281221607247085,0.10844641290373888,0.1748771761772897,0.14494985612035963
50.0,3.0,10.0,1547.0,2.0,3.0,-8.0,-0.0579264296982367,-0.0281221607247085,0.12410919850402778,0.16206532274775937,0.1658970280768652
1.0,3.0,1.0,1066.0,2.0,2.0,-8.0,-0.0579264296982367,-0.0281221607247085,0.2001075743151183,0.17128006313100871,0.17590683357437756
62.0,4.0,15.0,494.0,2.0,2.0,-9.0,-0.0579264296982367,-0.0281221607247085,0.012324392142789773,0.029801226503883668,0.06205678205943922
50.0,4.0,10.0,48.0,2.0,1.0,-1.0,-0.0579264296982367,-0.0281221607247085,0.14475510970129762,0.4989176678662019,0.35506581207886423
60.0,1.0,14.0,3011.0,16.0,3.0,7.0,-0.0579264296982367,-0.0628342032416156,0.6971231832146995,0.7271231832146995,0.6654156657184297
8.0,2.0,2.0,2700.0,16.0,3.0,1.0,-0.0579264296982367,-0.0628342032416156,0.5874617779560808,0.5949311918078809,0.5546133386723819
13.0,2.0,7.0,2700.0,16.0,3.0,1.0,-0.0579264296982367,-0.0628342032416156,0.6269627211600904,0.6082960544934237,0.5660437831890419
46.0,2.0,6.0,2276.0,16.0,3.0,4.0,-0.0579264296982367,-0.0628342032416156,0.6813084573911756,0.6631649146978752,0.6637351398328675
17.0,2.0,12.0,2074.0,16.0,2.0,4.0,-0.0579264296982367,-0.0628342032416156,0.6566780475429167,0.6963169741543934,0.6549674541464915
71.0,2.0,1.0,1853.0,16.0,2.0,4.0,-0.0579264296982367,-0.0628342032416156,0.660557282837178,0.6375576532075483,0.6352749719179324
86.0,3.0,16.0,1509.0,16.0,3.0,4.0,-0.0579264296982367,-0.0628342032416156,0.6827426447033079,0.712742644703308,0.6417721815342773
69.0,3.0,4.0,1329.0,16.0,3.0,-3.0,-0.0579264296982367,-0.0628342032416156,0.3225037230091424,0.3265653172426039,0.3604903172426039
44.0,4.0,6.0,823.0,16.0,2.0,-6.0,-0.0579264296982367,-0.0628342032416156,0.1896535327713801,0.2204785019033128,0.19637079016657472
89.0,4.0,4.0,563.0,16.0,2.0,-6.0,-0.0579264296982367,-0.0628342032416156,0.15179698156830113,0.11570670379052334,0.11388967959389246
71.0,4.0,4.0,344.0,16.0,2.0,-6.0,-0.0579264296982367,-0.0628342032416156,0.11763571796133052,0.09038813409576191,0.12799924520687303
75.0,4.0,2.0,122.0,16.0,2.0,-6.0,-0.0579264296982367,-0.0628342032416156,0.17429862850965067,0.13514585073187288,0.09492822409517959
21.0,4.0,8.0,20.0,16.0,0.0,-6.0,-0.0579264296982367,-0.0628342032416156,0.03527377696197524,0.18582499312143894,0.15588833110073477
5.0,1.0,5.0,3315.0,6.0,3.0,0.0,-0.0579264296982367,0.0765909426965908,0.5110292284334578,0.49942154750621937,0.4993250235405016
53.0,1.0,15.0,2931.0,6.0,3.0,10.0,-0.0579264296982367,0.0765909426965908,0.7424743998545099,0.7122280109177647,0.7277488442989544
84.0,2.0,2.0,2700.0,6.0,3.0,10.0,-0.0579264296982367,0.0765909426965908,0.8431041544254072,0.8274374877587405,0.8095886158196304
52.0,2.0,27.0,2436.0,6.0,3.0,10.0,-0.0579264296982367,0.0765909426965908,0.7822681810463396,0.7459669875915909,0.7655259588241172
75.0,2.0,11.0,2241.0,6.0,3.0,10.0,-0.0579264296982367,0.0765909426965908,0.8135109267577137,0.8435109267577138,0.7941899054929382
57.0,2.0,20.0,1869.0,6.0,3.0,3.0,-0.0579264296982367,0.0765909426965908,0.5726926138858843,0.5555946007695688,0.5850196007695688
60.0,3.0,7.0,1263.0,6.0,3.0,0.0,-0.0579264296982367,0.0765909426965908,0.4909331933150407,0.5209331933150407,0.5109829414161727
21.0,3.0,4.0,1052.0,6.0,3.0,0.0,-0.0579264296982367,0.0765909426965908,0.550759149727683,0.5988372123822804,0.5472632748246926
1.0,4.0,1.0,900.0,6.0,3.0,-4.0,-0.0579264296982367,0.0765909426965908,0.288580917066886,0.3220605051360841,0.3148105051360841
17.0,4.0,9.0,559.0,6.0,3.0,-4.0,-0.0579264296982367,0.0765909426965908,0.14495049853055803,0.30982691492405784,0.27769688169006906
66.0,4.0,1.0,264.0,6.0,2.0,-4.0,-0.0579264296982367,0.0765909426965908,0.21882245429032732,0.22242719522497517,0.2636827507805307
39.0,4.0,5.0,22.0,6.0,0.0,-4.0,-0.0579264296982367,0.0765909426965908,0.1283989751801878,0.2148405189662623,0.20620848192922525
64.0,1.0,10.0,3472.0,36.0,2.0,0.0,-0.0579264296982367,-0.04344200507219,0.42148682884139044,0.4514868288413904,0.4416338004355884
31.0,1.0,4.0,2971.0,36.0,2.0,7.0,-0.0579264296982367,-0.04344200507219,0.7286137247549326,0.713352243273451,0.6963878716297974
31.0,2.0,9.0,2521.0,36.0,2.0,3.0,-0.0579264296982367,-0.04344200507219,0.5820728823116692,0.599157887689048,0.5887002295638667
42.0,2.0,1.0,2082.0,36.0,2.0,6.0,-0.0579264296982367,-0.04344200507219,0.6447432033589371,0.6362974921827736,0.6640354156045126
25.0,2.0,2.0,1804.0,36.0,0.0,-1.0,-0.0579264296982367,-0.04344200507219,0.5224093512683395,0.5134371627742625,0.4493897662236487
57.0,3.0,6.0,1474.0,36.0,3.0,2.0,-0.0579264296982367,-0.04344200507219,0.6888821170155957,0.6619213762748549,0.5887564739846356
70.0,4.0,5.0,897.0,36.0,3.0,-8.0,-0.0579264296982367,-0.04344200507219,0.1694374928447301,0.13816943728917452,0.15166093088995847
85.0,4.0,10.0,596.0,36.0,3.0,-8.0,-0.0579264296982367,-0.04344200507219,0.07910702610672128,0.046027396477091656,0.0687220713357606
82.0,4.0,11.0,381.0,36.0,3.0,-8.0,-0.0579264296982367,-0.04344200507219,0.05464205149500222,0.021599925679508476,0.05597353679061959
44.0,4.0,8.0,62.0,36.0,2.0,-8.0,-0.0579264296982367,-0.04344200507219,0.01643067818474837,0.03138785076033773,0.051429979074154974
45.0,1.0,12.0,3348.0,15.0,3.0,0.0,-0.0579264296982367,-0.0017807959942073,0.5373004072824636,0.5406557705929583,0.5436985303695513
82.0,2.0,8.0,2566.0,15.0,3.0,7.0,-0.0579264296982367,-0.0017807959942073,0.7682979195574727,0.7982979195574728,0.7464985614386412
67.0,2.0,16.0,2286.0,15.0,3.0,7.0,-0.0579264296982367,-0.0017807959942073,0.7424310246872952,0.7724310246872952,0.7427314719089202
62.0,2.0,11.0,2272.0,15.0,3.0,7.0,-0.0579264296982367,-0.0017807959942073,0.73434762927936,0.7643476292793601,0.7284601443336571
41.0,2.0,4.0,2196.0,15.0,3.0,7.0,-0.0579264296982367,-0.0017807959942073,0.7586248125099122,0.7113464229758449,0.7423063606816742
63.0,2.0,2.0,2010.0,15.0,2.0,7.0,-0.0579264296982367,-0.0017807959942073,0.7806783423652709,0.756414455628197,0.7604338979208265
36.0,2.0,20.0,1808.0,15.0,0.0,7.0,-0.0579264296982367,-0.0017807959942073,0.7766950777915813,0.8111726286005659,0.7728149201478786
31.0,2.0,15.0,1808.0,15.0,0.0,7.0,-0.0579264296982367,-0.0017807959942073,0.7770887938457302,0.809756032288213,0.7726259987780107
54.0,3.0,1.0,1508.0,15.0,3.0,10.0,-0.0579264296982367,-0.0017807959942073,0.8209121941717458,0.7762128378352455,0.8003892312087828
